location,year,month,disaster_type,prob_ACCIDENT,prob_COLLAPSE,prob_COMERCIAL FIRE,prob_DISASTER_TYPE,prob_DROWN,prob_DROWNING,prob_EPIDEMIC,prob_EXPLOSION,prob_FIRE,prob_FLOOD,prob_INDUSTRIAL FIRE,prob_LANDSLIDE,prob_LIGHTNING,prob_MAN MADE (BUILDING COLLAPSE),prob_MAN MADE(BUILDING COLLAPSE),prob_MAN_MADE,prob_PEST_INFESTATION,prob_RAIN_STORM,prob_TIDAL_WAVE,prob_WIND_STORM
Location,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.2,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.09
ESIAMA,2024,1,WIND_STORM,0.16,0.03,0.03,0.0,0.0,0.0,0.18,0.01,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.02,0.19
AGONA NKWANTA,2024,1,RAIN_STORM,0.09,0.03,0.01,0.0,0.0,0.0,0.15,0.03,0.03,0.08,0.11,0.0,0.01,0.0,0.0,0.13,0.01,0.21,0.02,0.09
MPATASE,2024,1,EPIDEMIC,0.14,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.02,0.11,0.05,0.09
ABURA,2024,1,EPIDEMIC,0.1,0.03,0.01,0.0,0.01,0.0,0.2,0.07,0.05,0.04,0.06,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.02,0.07
AKWIDAA,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.11,0.02,0.08
BONWIRE JUNCTION,2024,1,EPIDEMIC,0.12,0.06,0.03,0.01,0.02,0.0,0.22,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.16,0.03,0.07
AHOBRE,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.24,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.02,0.08
"ABURA,AGONA",2024,1,EPIDEMIC,0.1,0.03,0.01,0.0,0.01,0.0,0.2,0.07,0.05,0.04,0.06,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.02,0.07
DIXCOVE,2024,1,EPIDEMIC,0.1,0.05,0.02,0.0,0.01,0.0,0.27,0.05,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0.15,0.03,0.06
"ESSIPONG,ESSAMAM,MPINTSIN",2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
ESHIEM,2024,1,EPIDEMIC,0.12,0.04,0.03,0.0,0.01,0.0,0.29,0.03,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.12,0.04,0.07
NYANSO,2024,1,MAN_MADE,0.17,0.04,0.04,0.01,0.02,0.0,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.19,0.0,0.09,0.03,0.1
AKYIM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.11,0.02,0.08
NEW BENSO ,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.01,0.15,0.01,0.11,0.05,0.1
BENSO ATAKROM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.01,0.02,0.0,0.22,0.05,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.08
NSUAEM,2024,1,EPIDEMIC,0.16,0.04,0.05,0.02,0.02,0.0,0.18,0.02,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.17,0.0,0.1,0.03,0.1
COCOA TOWN,2024,1,EPIDEMIC,0.1,0.05,0.02,0.0,0.01,0.0,0.26,0.05,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.17,0.02,0.15,0.03,0.06
JAWAY,2024,1,EPIDEMIC,0.1,0.03,0.03,0.0,0.01,0.0,0.28,0.03,0.06,0.03,0.0,0.01,0.0,0.0,0.0,0.16,0.02,0.11,0.03,0.1
"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE",2024,1,EPIDEMIC,0.13,0.04,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.04,0.1
GYINAKO,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
POST OFFICE,2024,1,EPIDEMIC,0.16,0.03,0.04,0.01,0.02,0.01,0.18,0.02,0.06,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.11
MANTEMANKABI,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.2,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.09
ZONGO,2024,1,WIND_STORM,0.11,0.02,0.02,0.01,0.01,0.0,0.14,0.01,0.08,0.07,0.03,0.02,0.0,0.0,0.01,0.11,0.04,0.11,0.01,0.2
NDABULA,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.01,0.15,0.01,0.11,0.05,0.1
GHANA NUNGUA,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
NSUANO,2024,1,EPIDEMIC,0.16,0.04,0.05,0.02,0.02,0.0,0.18,0.02,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.17,0.0,0.1,0.03,0.1
MARKET,2024,1,EPIDEMIC,0.11,0.03,0.04,0.01,0.01,0.0,0.24,0.02,0.07,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.02,0.12,0.04,0.08
NEW TOWN,2024,1,EPIDEMIC,0.12,0.03,0.04,0.01,0.01,0.0,0.22,0.02,0.07,0.04,0.0,0.01,0.0,0.0,0.01,0.15,0.02,0.12,0.04,0.09
AMAMAMO,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.04,0.04,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.02,0.07
MANTUKWA,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.18,0.01,0.12,0.05,0.09
BEYIN,2024,1,EPIDEMIC,0.12,0.05,0.02,0.01,0.02,0.0,0.22,0.05,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.08
ENZINITIANU,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
KOMFREKU,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.22,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.08
ESUMANKROM,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
SHAMA KUMASI,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.03,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.12
AMISSAHKROM,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.02,0.07
UPPER INCHABAN,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.05,0.0,0.17,0.02,0.07,0.05,0.0,0.02,0.0,0.0,0.01,0.14,0.0,0.07,0.02,0.15
LOWER INCHABAN,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.21,0.02,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.1
NEW DABOASE JUNCTION,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.01,0.15,0.01,0.11,0.05,0.1
NKAKEM,2024,1,EPIDEMIC,0.12,0.03,0.04,0.01,0.01,0.0,0.23,0.02,0.08,0.04,0.0,0.01,0.0,0.0,0.01,0.15,0.02,0.12,0.03,0.08
AGYAN,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.24,0.07,0.02,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.02,0.08
"DUALE,AJOMORO,SIKA NYEASEM,AVREBO,NUABESA,GWIRA-BANSO,BAMIANKOR,SENTUM",2024,1,EPIDEMIC,0.12,0.05,0.04,0.01,0.02,0.0,0.23,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.13,0.05,0.08
"AVREBO,GWIRA BANSO,NUABESA",2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.05,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.15,0.01,0.18,0.02,0.07
"DUALE,KUTUKROM,BAMIANKOR",2024,1,EPIDEMIC,0.12,0.05,0.04,0.01,0.02,0.0,0.23,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.13,0.05,0.08
"SENTUM,GWIRA ESIAM,",2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.13
 AJOMORO ESIAM,2024,1,EPIDEMIC,0.11,0.04,0.02,0.0,0.02,0.0,0.2,0.07,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.02,0.06
KAKUSUZO,2024,1,EPIDEMIC,0.13,0.04,0.04,0.02,0.02,0.0,0.22,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.09
AMANVUMANU,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.02,0.07
BOKRO,2024,1,EPIDEMIC,0.12,0.06,0.02,0.01,0.02,0.0,0.23,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.07
SALMA,2024,1,EPIDEMIC,0.13,0.02,0.03,0.01,0.01,0.02,0.22,0.02,0.09,0.03,0.0,0.02,0.0,0.0,0.03,0.14,0.0,0.09,0.03,0.11
ADUBRIEM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.07,0.02,0.06,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.02,0.08
AKROPONG,2024,1,EPIDEMIC,0.09,0.03,0.01,0.0,0.01,0.0,0.19,0.04,0.05,0.07,0.08,0.0,0.0,0.0,0.0,0.14,0.0,0.18,0.02,0.09
NKAKAA,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.16,0.01,0.11,0.03,0.09
"KWASIKRU,SOMPRE",2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.21,0.02,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.1
SOMPRE,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.03,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.12
DWIFE,2024,1,EPIDEMIC,0.12,0.05,0.04,0.01,0.02,0.0,0.23,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.13,0.05,0.08
DABOASE,2024,1,EPIDEMIC,0.1,0.05,0.02,0.0,0.01,0.0,0.26,0.05,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.17,0.02,0.15,0.03,0.06
ATIEKU,2024,1,EPIDEMIC,0.1,0.04,0.01,0.0,0.01,0.0,0.22,0.05,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.16,0.01,0.21,0.02,0.06
SUBRI,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.13
SEKYEREKROBO,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.13
SEKYREADIEMBRA,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.13
"HOSPITAL RIDGE,EDUCATION OFFICED,YIRASE,ASUOHYIAM",2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.04,0.09
PRESTEA,2024,1,EPIDEMIC,0.13,0.03,0.03,0.01,0.01,0.01,0.22,0.02,0.09,0.03,0.0,0.02,0.0,0.0,0.02,0.16,0.0,0.1,0.03,0.09
ABOSO,2024,1,RAIN_STORM,0.09,0.02,0.01,0.0,0.0,0.0,0.13,0.03,0.04,0.08,0.1,0.0,0.01,0.0,0.0,0.16,0.01,0.22,0.02,0.08
JUABEN,2024,1,EPIDEMIC,0.13,0.04,0.04,0.02,0.02,0.0,0.23,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.04,0.09
BEPPO,2024,1,EPIDEMIC,0.12,0.05,0.02,0.01,0.02,0.0,0.22,0.05,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.08
HIMAN,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.04,0.09
BOGOSO,2024,1,RAIN_STORM,0.1,0.04,0.01,0.0,0.01,0.0,0.21,0.03,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.15,0.01,0.23,0.02,0.07
"JAPA,ASUOJA,KROBO GYEDUA,DOMEABRA,WANTRAM",2024,1,EPIDEMIC,0.13,0.04,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.04,0.1
WASSA SAA,2024,1,WIND_STORM,0.17,0.02,0.03,0.01,0.05,0.0,0.16,0.02,0.07,0.04,0.0,0.02,0.0,0.0,0.0,0.14,0.0,0.05,0.02,0.2
South effiakuma estate  ,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.13
RAINSTORM,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.06,0.03,0.0,0.02,0.0,0.0,0.01,0.17,0.0,0.09,0.03,0.12
WHINDO NEWSITE,2024,1,WIND_STORM,0.17,0.02,0.03,0.01,0.05,0.0,0.16,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.0,0.14,0.0,0.07,0.02,0.19
ASSAKAE,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.05,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.15,0.01,0.18,0.02,0.07
ANAJI OLD BRIGADE,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.26,0.07,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.02,0.06
KWESIMINTSIM,2024,1,EPIDEMIC,0.1,0.03,0.04,0.01,0.01,0.0,0.26,0.02,0.06,0.03,0.0,0.01,0.0,0.0,0.0,0.16,0.02,0.11,0.04,0.1
APREMDO TOWN,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.23,0.07,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.14,0.01,0.18,0.02,0.06
ABODUAM,2024,1,EPIDEMIC,0.11,0.04,0.02,0.0,0.02,0.0,0.2,0.07,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.02,0.06
AHWIAM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.24,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.02,0.08
ASAWINSO,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.23,0.06,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.14,0.01,0.18,0.02,0.06
PEAWUDIE,2024,1,EPIDEMIC,0.17,0.04,0.04,0.01,0.02,0.01,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.1
PABOASE,2024,1,EPIDEMIC,0.17,0.04,0.04,0.01,0.02,0.01,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.1
FUTA,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
"Gyakrom,Afrikrom",2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
Susumenelee,2024,1,EPIDEMIC,0.16,0.02,0.04,0.01,0.02,0.02,0.18,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.02,0.15,0.0,0.08,0.03,0.13
New Gyasikrom,2024,1,MAN_MADE,0.17,0.04,0.04,0.01,0.02,0.0,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.19,0.0,0.09,0.03,0.1
Nyakamam,2024,1,MAN_MADE,0.17,0.04,0.04,0.01,0.02,0.0,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.19,0.0,0.09,0.03,0.1
Omape,2024,1,EPIDEMIC,0.17,0.04,0.04,0.01,0.02,0.01,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.1
YAKASI,2024,1,WIND_STORM,0.17,0.02,0.03,0.01,0.05,0.0,0.16,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.0,0.14,0.0,0.07,0.02,0.19
"ENCHI,OLD YKASE,NEW YAKASE,BOINSO,OMANYEPE",2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.12,0.05,0.08
ENCHI,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.12,0.05,0.07
OLD YAKASI,2024,1,EPIDEMIC,0.17,0.04,0.04,0.01,0.02,0.01,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.1
NEW YAKASI,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.18,0.02,0.04,0.04,0.0,0.01,0.0,0.0,0.01,0.16,0.01,0.11,0.04,0.1
BOINSO,2024,1,EPIDEMIC,0.12,0.06,0.02,0.01,0.02,0.0,0.22,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.08
OMANYEPE,2024,1,EPIDEMIC,0.17,0.04,0.04,0.01,0.02,0.01,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.1
PROSO,2024,1,EPIDEMIC,0.16,0.03,0.04,0.01,0.02,0.01,0.18,0.02,0.06,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.11
KOFIKROM ,2024,1,EPIDEMIC,0.13,0.04,0.04,0.02,0.02,0.0,0.22,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.09
BOINZAIN,2024,1,EPIDEMIC,0.12,0.06,0.02,0.01,0.02,0.0,0.23,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.07
JUABOSO,2024,1,EPIDEMIC,0.13,0.04,0.04,0.02,0.02,0.0,0.23,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.04,0.09
ADABOKROM,2024,1,EPIDEMIC,0.1,0.04,0.01,0.0,0.01,0.0,0.2,0.07,0.05,0.05,0.06,0.0,0.0,0.0,0.0,0.14,0.0,0.18,0.02,0.07
MISIBA,2024,1,EPIDEMIC,0.14,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.02,0.11,0.05,0.09
AKONTOMBRA,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.11,0.02,0.08
AYISAKROM,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.05,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.15,0.01,0.18,0.02,0.07
KABIESIE,2024,1,EPIDEMIC,0.13,0.04,0.04,0.02,0.02,0.0,0.22,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.09
BOPA,2024,1,EPIDEMIC,0.12,0.06,0.03,0.01,0.02,0.0,0.22,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.16,0.03,0.07
Adobewura,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.05,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.15,0.01,0.18,0.02,0.07
Degede,2024,1,EPIDEMIC,0.12,0.05,0.04,0.01,0.02,0.0,0.23,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.13,0.05,0.08
Attakrom,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.05,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.15,0.01,0.18,0.02,0.07
Breman,2024,1,EPIDEMIC,0.12,0.06,0.03,0.01,0.02,0.0,0.22,0.05,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.16,0.03,0.07
HUJIBRE,2024,1,EPIDEMIC,0.15,0.05,0.04,0.01,0.02,0.0,0.23,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.11,0.04,0.09
BEKWAI,2024,1,EPIDEMIC,0.12,0.05,0.02,0.01,0.02,0.0,0.22,0.05,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.02,0.08
NKETIESO,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.16,0.01,0.11,0.03,0.09
KRAYAWKROM,2024,1,EPIDEMIC,0.13,0.04,0.05,0.02,0.02,0.0,0.22,0.03,0.03,0.03,0.0,0.01,0.0,0.0,0.0,0.17,0.01,0.11,0.05,0.08
DIXCOVE ,2024,1,EPIDEMIC,0.11,0.05,0.02,0.0,0.01,0.0,0.27,0.05,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.15,0.03,0.06
KEJABIL,2024,1,EPIDEMIC,0.1,0.03,0.03,0.01,0.01,0.0,0.27,0.03,0.06,0.03,0.0,0.01,0.0,0.0,0.0,0.16,0.02,0.11,0.04,0.09
ACHOWA,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.22,0.07,0.02,0.06,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.02,0.08
ABOADI,2024,1,EPIDEMIC,0.09,0.03,0.01,0.0,0.01,0.0,0.18,0.07,0.09,0.04,0.06,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.02,0.06
BEAHU,2024,1,EPIDEMIC,0.1,0.04,0.01,0.0,0.01,0.0,0.24,0.05,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.16,0.01,0.2,0.02,0.06
AGONA NKWANTA MKT,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.24,0.07,0.02,0.05,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.02,0.08
BUTRE,2024,1,EPIDEMIC,0.1,0.05,0.02,0.0,0.01,0.0,0.25,0.05,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.17,0.02,0.18,0.02,0.04
BUSUA JUNCTION,2024,1,EPIDEMIC,0.12,0.06,0.03,0.01,0.02,0.0,0.22,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.17,0.01,0.16,0.03,0.06
ASEMASA,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.23,0.06,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.14,0.01,0.18,0.02,0.06
ADUM DOMINASE,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.23,0.07,0.02,0.06,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.02,0.08
BANSO,2024,1,RAIN_STORM,0.1,0.03,0.01,0.0,0.0,0.0,0.17,0.02,0.03,0.06,0.05,0.0,0.0,0.0,0.0,0.14,0.03,0.23,0.01,0.12
AYIEM,2024,1,EPIDEMIC,0.1,0.04,0.01,0.0,0.01,0.0,0.22,0.05,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.16,0.01,0.21,0.02,0.06
MPOHOR,2024,1,EPIDEMIC,0.1,0.02,0.04,0.01,0.0,0.0,0.16,0.01,0.05,0.06,0.03,0.01,0.0,0.0,0.0,0.13,0.11,0.14,0.02,0.11
ADA NKWANTA,2024,1,EPIDEMIC,0.12,0.05,0.02,0.0,0.02,0.0,0.22,0.07,0.02,0.06,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.02,0.08
NEWTOWN,2024,1,EPIDEMIC,0.15,0.04,0.05,0.02,0.02,0.0,0.19,0.02,0.05,0.04,0.0,0.01,0.0,0.0,0.01,0.16,0.01,0.11,0.03,0.09
OLD TOWN,2024,1,EPIDEMIC,0.17,0.04,0.04,0.01,0.02,0.01,0.18,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.01,0.18,0.0,0.09,0.03,0.1
APEMANYIM,2024,1,EPIDEMIC,0.13,0.05,0.02,0.0,0.02,0.0,0.25,0.07,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.13,0.01,0.15,0.02,0.07
