location,most_likely_disaster
CINDYS COTTAGE HOUSING AREA,MAN_MADE
COCOA TOWN,MAN_MADE
CYANIDE,MAN_MADE
DABOASE,MAN_MADE
"DABOASE,SEKYERE ABOADZERAM",MAN_MADE
DAMANG,MAN_MADE
"DAMANG,DUMASI",MAN_MADE
"DAMOAKROM,WASSA AKROPONG",MAN_MADE
DAMTI,MAN_MADE
DEGEDE,MAN_MADE
DIXCOVE,MAN_MADE
DOMEAKROM,MAN_MADE
"DOMINASE,KYEIKROM,ASUMAUM",MAN_MADE
"DOMINASE,TREBOUM,AYIEM,MPOHOR,BANSO",MAN_MADE
DOMPIM,MAN_MADE
DOMPIM-PEPESA,MAN_MADE
DUAHOROZO,MAN_MADE
"DUALE,AJOMORO,SIKA NYEASEM,AVREBO,NUABESA,GWIRA-BANSO,BAMIANKOR,SENTUM",MAN_MADE
"DUALE,KUTUKROM,BAMIANKOR",MAN_MADE
DWIFE,MAN_MADE
EAST TANOKROM,MAN_MADE
"EDELESUAZO,ANAGYE,EWUKU,EGUAFO,AGONA",MAN_MADE
EDWENASE,MAN_MADE
EFFIA,MAN_MADE
EFFIAKUMA ZONGO,MAN_MADE
"EFUANTA,KYEKYERWERE,ESUOSO,ADEYIE,BONSA,NKRAN,ADIEWOSO,ESSAMANG",MAN_MADE
EHOAKA,MAN_MADE
EHYIRESO,MAN_MADE
EKEGYINA,MAN_MADE
EKWEI,MAN_MADE
ELLOWULE,MAN_MADE
ELUBO,MAN_MADE
"ELUBO,ANWIAFUTU,SOWODAZIM",MAN_MADE
ENCHI,MAN_MADE
"ENCHI,OLD YKASE,NEW YAKASE,BOINSO,OMANYEPE",MAN_MADE
ENOE,MAN_MADE
"ENYINASE,NSUAEM",MAN_MADE
ENZINITIANU,MAN_MADE
ESHIEM,MAN_MADE
ESIAMA,MAN_MADE
ESIKAFOAMBANTEM NO1,MAN_MADE
ESSAMAN,MAN_MADE
ESSAMANG,MAN_MADE
ESSIKADO,MAN_MADE
ESSIPONG,MAN_MADE
"ESSIPONG,ESSAMAM,MPINTSIN",MAN_MADE
ESUMANKROM,MAN_MADE
EWUSIEDJOE,MAN_MADE
EWUSIEJOE,MAN_MADE
EZINLINBO,MAN_MADE
FANTI MINES SHAFT,MAN_MADE
FAWOMANYE,MAN_MADE
FIATI,MAN_MADE
FIJAI TOWN,MAN_MADE
FORDJOKROM,MAN_MADE
FUTA,MAN_MADE
GHANA NUNGUA,MAN_MADE
"GHANA NUNGUA, COCOA TOWN.JAWAY",MAN_MADE
GWIRA BANSO,MAN_MADE
GYABENEKROM,MAN_MADE
"GYAKROM,AFRIKROM",MAN_MADE
GYAMAN,MAN_MADE
"GYIMAKROM,ADADEKROM",MAN_MADE
GYINAKO,MAN_MADE
H/ASSINI,MAN_MADE
HALF ASSIN,MAN_MADE
HALF ASSINI,MAN_MADE
"HALF ASSINI , ADUSUAZO",MAN_MADE
"HALF ASSINI,JAWAY WHARF,MPEASEM,SENTE",MAN_MADE
HEAVEN ON EARTH,MAN_MADE
HIMAN,MAN_MADE
HOPOTO,MAN_MADE
"HOSPITAL RIDGE,EDUCATION OFFICED,YIRASE,ASUOHYIAM",MAN_MADE
HUJIBRE,MAN_MADE
"INCHABAN,ESSUMANKROM",MAN_MADE
"INCHABAN,SHAMA JUNCTION,BEPOSO",MAN_MADE
ITUMA,MAN_MADE
J COMPOUND,MAN_MADE
J/WHARF,MAN_MADE
JAMESBOA,MAN_MADE
"JAPA,ASUOJA,KROBO GYEDUA,DOMEABRA,WANTRAM",MAN_MADE
JAWAY,MAN_MADE
JERUSALEM,MAN_MADE
"JOMRO,MANTSEMANKABI,MENTUKWA,ELEBO ZONGO,NEWTOWN,BANYIN,ELEBO CEMETRY,ELEBO GYINAKRO,ELEBO POST OFFICE",MAN_MADE
JUABEN,MAN_MADE
JUABOSO,MAN_MADE
"JUKWAA,HEMAA,ASUNDA",MAN_MADE
K PROPER,MAN_MADE
K.PROPER,MAN_MADE
"K9,MANSO",MAN_MADE
KABIESIE,MAN_MADE
KABSUAZO,MAN_MADE
KAKUSUADO,MAN_MADE
KAKUSUZO,MAN_MADE
KANSAWORDO,MAN_MADE
KANSAWORODO,MAN_MADE
KEGYINA,MAN_MADE
KEJABIL,MAN_MADE
KETAN,MAN_MADE
KIKAM,MAN_MADE
KOFIKROM,MAN_MADE
KOJOKROM,MAN_MADE
KOJOKROM ALATASEMENAFOM,MAN_MADE
"KOJOKROM,WEST FIJAI,DIABENE,ADAKOPE,KWEIKUMA RIDGE",MAN_MADE
KOKOMPE NO.1,MAN_MADE
KOMFREKU,MAN_MADE
KPOKORKOPE,MAN_MADE
KRAYAWKROM,MAN_MADE
KROFROM,MAN_MADE
KRUTOWN,MAN_MADE
"KUBEKOR,NTAAKROM",MAN_MADE
KWABENG,MAN_MADE
KWAMENAKROM,MAN_MADE
KWASIKROM,MAN_MADE
"KWASIKRU,SOMPRE",MAN_MADE
KWEIKUMA BUS TOP,MAN_MADE
KWEIKUMA CAPRICE,MAN_MADE
KWEIKUMA RIDGE,MAN_MADE
KWESIMINTSIM,MAN_MADE
"KWESIMINTSIM,I ADU",MAN_MADE
"LOW COST,IBS DOWN,MARTA,KWESI BUKRO",MAN_MADE
LOWER INCHABAN,MAN_MADE
LOWER NEW TAKORADI,MAN_MADE
Location,MAN_MADE
MANSO,WIND_STORM
MANSO AMENFI,MAN_MADE
"MANSO,BANSO,EDAA,DOMINASE",MAN_MADE
MANTEMANKABI,MAN_MADE
MANTUKWA,MAN_MADE
MARKET,MAN_MADE
MBEM,MAN_MADE
MBOFRADWEN,MAN_MADE
MEMPEASEM,MAN_MADE
MENZEZOR,MAN_MADE
METIKA,MAN_MADE
MISIBA,MAN_MADE
"MPATABA,NEW NZULEZO",MAN_MADE
MPATASE,MAN_MADE
MPAYINASA,MAN_MADE
MPEASEM,MAN_MADE
MPINTSIN,MAN_MADE
MPOHOR,WIND_STORM
"MPOHOYABEW,OBRAYEBONA,TREBUO",MAN_MADE
MUMUNI,MAN_MADE
MUNICIPALITY,MAN_MADE
NDABULA,MAN_MADE
NEW BAKANTA,MAN_MADE
NEW BANKATA,MAN_MADE
NEW BENSO,MAN_MADE
NEW DABOASE JUNCTION,MAN_MADE
NEW EDOBO,MAN_MADE
"NEW EDOBO,OLD EDOBO,HALF ASSINI,BENYIN",MAN_MADE
NEW GYASIKROM,MAN_MADE
NEW JERUSALEM,MAN_MADE
NEW MANKESSIM,MAN_MADE
"NEW NZULEZO,MPATADO",MAN_MADE
NEW TAKORADI,MAN_MADE
NEW TOWN,MAN_MADE
NEW YAKASI,MAN_MADE
NEWSITE,MAN_MADE
NEWSITE F-COMPOUND,MAN_MADE
NEWTOWN,MAN_MADE
NFANTE LANE,MAN_MADE
NGIRESIA,MAN_MADE
NKAKAA,MAN_MADE
NKAKEM,MAN_MADE
"NKAMPONASE,DOMPIM",MAN_MADE
NKETIESO,MAN_MADE
NKETSIAKROM,MAN_MADE
NKROFUL,MAN_MADE
NKROFUL NKWANTA,MAN_MADE
"NKROFUL,DIABENE,KANSAWORODO",MAN_MADE
NO.2 J2 COMPOUND,MAN_MADE
NSEIN,MAN_MADE
NSUAEM,MAN_MADE
NSUAEM . DOMPIM,MAN_MADE
NSUANO,MAN_MADE
NSUOPUN,MAN_MADE
"NTAKOFUL,KANSAWORDO,DIBENE",MAN_MADE
NTAMAKROM,MAN_MADE
NVELLENU,MAN_MADE
NYAKAMAM,MAN_MADE
NYAME NNAE,MAN_MADE
NYANSO,MAN_MADE
NZEMALINE,MAN_MADE
OBENKROM,MAN_MADE
OBOKROM,MAN_MADE
OBRAYEBONA,MAN_MADE
ODAA AHENKRO,MAN_MADE
OHIAMAWEN,MAN_MADE
OLD EDOBO,MAN_MADE
"OLD EDOBO,NEWEDOBO,ATWEBANSO",MAN_MADE
"OLD SUBRI,BAASE",MAN_MADE
OLD TOWN,MAN_MADE
"OLD TOWN,KWAMNAEKROM,ROMAN CATHOLIC SCHOOL",MAN_MADE
OLD YAKASI,MAN_MADE
OMANYEPE,MAN_MADE
OMAPE,MAN_MADE
OPPONG VALLEY,MAN_MADE
PABOASE,MAN_MADE
PATAKORO,MAN_MADE
PEAWUDIE,MAN_MADE
PENSAN,MAN_MADE
PONTOSO,MAN_MADE
POST OFFICE,MAN_MADE
PRESTEA,MAN_MADE
PRESTEA NKWANTA,MAN_MADE
PRINCESS AKATAKYI,MAN_MADE
PROSO,MAN_MADE
QUEEN OF PEACE,MAN_MADE
RACE COURSE,MAN_MADE
RAILWAY BANGALOW,MAN_MADE
RAILWAY QTR,MAN_MADE
RAINSTORM,MAN_MADE
REGIMANUEL ESTATE,MAN_MADE
"SALAMI,EDUCATION,HOSPITAL RIDGE,DWENASE",MAN_MADE
SALMA,MAN_MADE
SAMREBOI,MAN_MADE
SANKOFA,MAN_MADE
SANKOR,MAN_MADE
SANZULE EWE COMM.,MAN_MADE
SANZULE EWE COMMUNITY,MAN_MADE
"SANZULE,ANNORKYI,BASAKE,KAMBULI",MAN_MADE
SARBON ZONGO,MAN_MADE
SEK. RAILWAYS SLUMS,MAN_MADE
SEKONDI,MAN_MADE
SEKYERE ABOROADZEMU,MAN_MADE
