date,disaster_type,id,location,severity_index,year,month,day,day_of_week
,DISASTER_TYPE,Incident_Count,Location,Severity_Index,,,,
2020-02-16,FIRE,1,OLD TOWN,1,2020.0,2.0,16.0,6.0
2020-11-05,FIRE,1,APEMANYIM,1,2020.0,11.0,5.0,3.0
2020-11-06,MAN_MADE,1,BEPOSO,1,2020.0,11.0,6.0,4.0
2020-10-27,FIRE,1,ABOADZE,1,2020.0,10.0,27.0,1.0
2020-11-26,FLOOD,1,ABUESI,1,2020.0,11.0,26.0,3.0
2020-12-13,FIRE,1,SHAMA,1,2020.0,12.0,13.0,6.0
2020-01-13,FIRE,1,ESIAMA,1,2020.0,1.0,13.0,0.0
2020-01-21,MAN_MADE,1,OBENKROM,1,2020.0,1.0,21.0,1.0
2020-01-02,FIRE,1,SALMA,1,2020.0,1.0,2.0,3.0
2020-11-02,FIRE,1,AKPANDUE,1,2020.0,11.0,2.0,0.0
2020-02-13,FIRE,1,NEW BANKATA,1,2020.0,2.0,13.0,3.0
2020-06-03,FIRE,1,ASEMKO,1,2020.0,6.0,3.0,2.0
2020-04-14,FIRE,1,AWIEBO,1,2020.0,4.0,14.0,1.0
2020-05-05,FIRE,1,ESIAMA,1,2020.0,5.0,5.0,1.0
2020-01-07,FIRE,1,BOBRAMA,1,2020.0,1.0,7.0,1.0
2020-07-20,FIRE,1,KIKAM,1,2020.0,7.0,20.0,0.0
2020-08-18,FIRE,1,NKROFUL,1,2020.0,8.0,18.0,1.0
2020-12-09,FIRE,1,SANZULE EWE COMMUNITY,1,2020.0,12.0,9.0,2.0
2020-10-14,FIRE,1,NKROFUL,1,2020.0,10.0,14.0,2.0
2020-01-18,WIND_STORM,1,NSUAEM . DOMPIM,1,2020.0,1.0,18.0,5.0
2020-02-18,RAIN_STORM,1,"NKAMPONASE,DOMPIM",1,2020.0,2.0,18.0,1.0
2020-08-03,FIRE,1,BENSO,1,2020.0,8.0,3.0,0.0
2020-04-01,WIND_STORM,1,DOMPIM,1,2020.0,4.0,1.0,2.0
2020-04-01,WIND_STORM,1,BENSO,1,2020.0,4.0,1.0,2.0
2020-04-01,WIND_STORM,1,ADIEWOSO,1,2020.0,4.0,1.0,2.0
2020-04-18,FIRE,1,RAILWAY QTR,1,2020.0,4.0,18.0,5.0
2020-04-26,FLOOD,1,ESSAMAN,1,2020.0,4.0,26.0,6.0
2020-05-23,FLOOD,1,RAILWAY QTR,1,2020.0,5.0,23.0,5.0
2020-05-25,FIRE,1,NEW MANKESSIM,1,2020.0,5.0,25.0,0.0
2020-05-27,FIRE,1,SIMPA,1,2020.0,5.0,27.0,2.0
2020-07-14,FIRE,1,AKOON,1,2020.0,7.0,14.0,1.0
2020-05-08,FIRE,1,TARKWA,1,2020.0,5.0,8.0,4.0
2020-10-08,FIRE,1,NZEMALINE,1,2020.0,10.0,8.0,3.0
2020-04-09,FIRE,1,AKYEPIM,1,2020.0,4.0,9.0,3.0
2020-10-06,MAN_MADE,1,AKOON,1,2020.0,10.0,6.0,1.0
2020-05-18,RAIN_STORM,1,NSUOPUN,1,2020.0,5.0,18.0,0.0
2020-05-20,RAIN_STORM,1,ADANSE,1,2020.0,5.0,20.0,2.0
2020-03-06,RAIN_STORM,1,ESIAMA,1,2020.0,3.0,6.0,4.0
2020-03-01,FIRE,1,YEDIYESELE,1,2020.0,3.0,1.0,6.0
2020-02-26,FIRE,1,APATAIM,1,2020.0,2.0,26.0,2.0
2020-05-03,FIRE,1,TEBAKROM,1,2020.0,5.0,3.0,6.0
2020-08-05,FIRE,1,BAMIANKOR,1,2020.0,8.0,5.0,2.0
2020-11-05,FIRE,1,AXIM,1,2020.0,11.0,5.0,3.0
2020-05-22,FIRE,1,KEGYINA,1,2020.0,5.0,22.0,4.0
2020-05-22,FIRE,1,AYISAKRO,1,2020.0,5.0,22.0,4.0
2020-02-08,FIRE,1,BOKAZO,1,2020.0,2.0,8.0,5.0
2020-08-29,FIRE,1,KEGYINA,1,2020.0,8.0,29.0,5.0
2020-11-13,FIRE,1,GWIRA BANSO,1,2020.0,11.0,13.0,4.0
2020-02-20,WIND_STORM,1,ANTO KUBEKRO,1,2020.0,2.0,20.0,3.0
2020-03-17,WIND_STORM,1,SEKYERE ABRODZERUM,1,2020.0,3.0,17.0,1.0
2020-05-04,WIND_STORM,1,AKYEMPIM,1,2020.0,5.0,4.0,0.0
2020-05-04,FIRE,1,ATIEKU,1,2020.0,5.0,4.0,0.0
2020-07-04,FIRE,1,AKYEMPIM,1,2020.0,7.0,4.0,5.0
2020-12-04,FIRE,1,JERUSALEM,1,2020.0,12.0,4.0,4.0
,FIRE,1,BOKOKROM,1,,,,
2020-03-13,FIRE,1,ALLAN BEACH,1,2020.0,3.0,13.0,4.0
2020-10-04,FIRE,1,NEW TAKORADI,1,2020.0,10.0,4.0,6.0
2020-07-07,FIRE,1,NKROFUL NKWANTA,1,2020.0,7.0,7.0,1.0
2020-07-18,FIRE,1,KOJOKROM,1,2020.0,7.0,18.0,5.0
2020-08-15,FIRE,1,TAKORADI,1,2020.0,8.0,15.0,5.0
2020-08-25,FIRE,1,AMANFUL,1,2020.0,8.0,25.0,1.0
