Date,Disaster_Type,Severity,Location
2019-09-16,RAINSTORM,1,PABOASE
2019-09-19,RAINSTORM,1,FUTA
2019-11-04,RAINSTORM,1,"GYAKROM,AFRIKROM"
2019-11-12,FLOOD,1,SUSUMENELEE
2019-03-21,RAINSTORM,1,NEW GYASIKROM
2019-01-18,RAINSTORM,1,NYAKAMAM
2019-01-18,RAINSTORM,1,OMAPE
2019-04-15,FLOOD,1,
2019-04-18,PEST INFESTATION,1,
2019-07-09,RAINSTORM,1,YAKASI
2019-11-10,FLOOD,1,"ENCHI,OLD YKASE,NEW YAKASE,BOINSO,OMANYEPE"
2019-10-14,FLOOD,1,ENCHI
2019-10-14,FLOOD,1,OLD YAKASI
2019-10-15,FLOOD,1,NEW YAKASI
2019-10-15,FLOOD,1,BOINSO
2019-10-15,FLOOD,1,OMANYEPE
2019-03-19,WINDSTORM,1,PROSO
2019-03-19,WINDSTORM,1,KOFIKROM
2019-01-06,WINDSTORM,1,
2019-08-13,RAINSTORM,1,BOINZAIN
2019-10-02,FLOOD,1,JUABOSO
2019-10-22,WINDSTORM,1,ADABOKROM
2019-11-04,RAINSTORM,1,
2019-12-04,FLOOD,1,
2019-10-19,FLOOD,1,MISIBA
2019-10-20,FLOOD,1,AKONTOMBRA
2019-10-22,FLOOD,1,ADABOKROM
2019-10-23,FLOOD,1,AYISAKROM
2019-10-28,LANDSLIDE,1,KABIESIE
2019-11-19,RAINSTORM,1,BOPA
2019-01-28,RAINSTORM,1,ADOBEWURA
2019-02-02,RAINSTORM,1,DEGEDE
2019-10-03,RAINSTORM,1,ATTAKROM
2019-03-22,RAINSTORM,1,BREMAN
2019-09-04,RAINSTORM,1,
2019-06-24,FLOOD,1,
2019-06-25,RAINSTORM,1,
2019-06-25,RAINSTORM,1,
2019-06-25,FLOOD,1,
2019-05-25,RAINSTORM,1,
2019-07-15,RAINSTORM,1,HUJIBRE
2019-08-18,FLOOD,1,BEKWAI
2019-11-28,RAINSTORM,1,NKETIESO
2019-08-03,WINDSTORM,1,KRAYAWKROM
2019-05-05,WINDSTORM,1,
2020-01-22,DOMESTIC FIRE,1,DIXCOVE
2020-03-12,WINDSTORM,1,KEJABIL
2020-03-01,DOMESTIC FIRE,1,DIXCOVE
2020-04-22,RAINSTORM,1,KEJABIL
2020-04-26,WINDSTORM,1,ACHOWA
2020-04-26,WINDSTORM,1,ABOADI
2020-04-27,DOMESTIC FIRE,1,
2020-05-13,DOMESTIC FIRE,1,BEAHU
2020-08-20,COMMERCIAL FIRE,1,AGONA NKWANTA MKT
2020-08-24,FLOOD,1,BUTRE
2020-08-28,MAN MADE,1,BUSUA JUNCTION
2020-09-22,DOMESTIC FIRE,1,ASEMASA
2020-03-14,DOMESTIC FIRE,1,ADUM DOMINASE
2020-04-06,FLOOD,1,BANSO
2020-04-06,WINDSTORM,1,AYIEM
2020-11-05,DOMESTIC FIRE,1,MPOHOR
2020-08-29,DOMESTIC FIRE,1,BANSO
2020-09-13,DOMESTIC FIRE,1,MPOHOR
2020-09-27,MAN MADE,1,BANSO
2020-06-02,DOMESTIC FIRE,1,ADA NKWANTA
2020-10-02,DOMESTIC FIRE,1,NEWTOWN
2020-02-16,DOMESTIC FIRE,1,OLD TOWN
2020-11-05,DOMESTIC FIRE,1,APEMANYIM
2020-11-06,MAN MADE,1,BEPOSO
2020-10-27,DOMESTIC FIRE,1,ABOADZE
2020-11-26,FLOOD,1,ABUESI
2020-11-26,FLOOD,1,ABUESI
2020-11-26,FLOOD,1,ABUESI
2020-11-26,FLOOD,1,ABUESI
2020-12-13,DOMESTIC FIRE,1,SHAMA
2020-01-13,DOMESTIC FIRE,1,ESIAMA
2020-01-21,MAN MADE,1,OBENKROM
2020-01-02,DOMESTIC FIRE,1,SALMA
2020-11-02,BUSH FIRE,1,AKPANDUE
2020-02-13,DOMESTIC FIRE,1,NEW BANKATA
2020-06-03,DOMESTIC FIRE,1,ASEMKO
2020-04-14,DOMESTIC FIRE,1,AWIEBO
2020-05-05,DOMESTIC FIRE,1,ESIAMA
2020-01-07,DOMESTIC FIRE,1,BOBRAMA
2020-07-20,DOMESTIC FIRE,1,KIKAM
2020-08-18,DOMESTIC FIRE,1,NKROFUL
2020-12-09,COMMERCIAL FIRE,1,SANZULE EWE COMMUNITY
2020-10-14,DOMESTIC FIRE,1,NKROFUL
2020-01-18,WINDSTORM,1,NSUAEM . DOMPIM
2020-02-18,RAINSTORM,1,"NKAMPONASE,DOMPIM"
2020-08-03,DOMESTIC FIRE,1,BENSO
2020-04-01,WINDSTORM,1,DOMPIM
2020-04-01,WINDSTORM,1,BENSO
2020-04-01,WINDSTORM,1,ADIEWOSO
2020-04-18,DOMESTIC FIRE,1,RAILWAY QTR
2020-04-26,FLOOD,1,ESSAMAN
2020-05-23,FLOOD,1,RAILWAY QTR
2020-05-25,DOMESTIC FIRE,1,NEW MANKESSIM
2020-05-27,COMMERCIAL FIRE,1,SIMPA
2020-07-14,DOMESTIC FIRE,1,AKOON
2020-05-08,COMMERCIAL FIRE,1,TARKWA
2020-10-08,COMMERCIAL FIRE,1,NZEMALINE
2020-04-09,COMMERCIAL FIRE,1,AKYEPIM
2020-10-06,MAN MADE,1,AKOON
2020-05-18,RAINSTORM,1,NSUOPUN
2020-05-20,RAINSTORM,1,ADANSE
2020-03-06,RAINSTORM,1,
2020-03-01,DOMESTIC FIRE,1,YEDIYESELE
2020-02-26,DOMESTIC FIRE,1,APATAIM
2020-05-03,DOMESTIC FIRE,1,TEBAKROM
2020-08-05,DOMESTIC FIRE,1,BAMIANKOR
2020-11-05,DOMESTIC FIRE,1,AXIM
2020-05-22,DOMESTIC FIRE,1,KEGYINA
2020-05-22,COMMERCIAL FIRE,1,AYISAKRO
2020-02-08,DOMESTIC FIRE,1,BOKAZO
2020-08-29,DOMESTIC FIRE,1,KEGYINA
2020-11-13,DOMESTIC FIRE,1,GWIRA BANSO
2020-02-20,WINDSTORM,1,ANTO KUBEKRO
2020-03-17,WINDSTORM,1,SEKYERE ABRODZERUM
2020-05-04,WINDSTORM,1,AKYEMPIM
2020-05-04,DOMESTIC FIRE,1,ATIEKU
2020-07-04,DOMESTIC FIRE,1,AKYEMPIM
2020-12-04,BUSH FIRE,1,JERUSALEM
2020-08-05,DOMESTIC FIRE,1,BOKOKROM
2020-03-13,COMMERCIAL FIRE,1,ALLAN BEACH
2020-10-04,DOMESTIC FIRE,1,NEW TAKORADI
2020-07-07,DOMESTIC FIRE,1,NKROFUL NKWANTA
2020-07-18,DOMESTIC FIRE,1,KOJOKROM
2020-08-15,COMMERCIAL FIRE,1,TAKORADI
2020-08-25,COMMERCIAL FIRE,1,AMANFUL
2020-09-06,DOMESTIC FIRE,1,KANSAWORDO
2020-10-20,DOMESTIC FIRE,1,TAKORADI
2020-10-23,DOMESTIC FIRE,1,ZONGO
2020-10-28,DOMESTIC FIRE,1,MARKET
2020-11-08,DOMESTIC FIRE,1,TAKORADI NO.1
2020-11-19,DOMESTIC FIRE,1,SEKONDI
2020-11-28,FLOOD,1,"NTAKOFUL,KANSAWORDO,DIBENE"
2020-01-04,RAINSTORM,1,ASANKRANGWA
2020-01-04,RAINSTORM,1,ASUOHYIAM
2020-01-04,RAINSTORM,1,SAMREBOI
2020-01-04,RAINSTORM,1,BREMAN
2020-01-04,RAINSTORM,1,MUMUNI
2020-01-04,RAINSTORM,1,PATAKORO
2020-01-04,RAINSTORM,1,ATOBRAKROM
2020-01-04,RAINSTORM,1,JAMESBOA
2020-01-04,RAINSTORM,1,GYAMAN
2020-01-04,RAINSTORM,1,SIKA NTI
2020-01-04,RAINSTORM,1,KWABENG
2020-01-04,RAINSTORM,1,ODAA AHENKRO
2020-01-04,RAINSTORM,1,MEMPEASEM
2020-11-05,FLOOD,1,ASUOHYIAM
2020-11-05,FLOOD,1,ATOBRAKROM
2020-07-27,DOMESTIC FIRE,1,AWORABO
2020-12-08,DOMESTIC FIRE,1,NEW TOWN
2020-03-18,COMMERCIAL FIRE,1,AGYEIKROM
2020-04-05,RAINSTORM,1,KROFROM
2020-04-09,MAN MADE,1,ABOSO
2020-04-27,RAINSTORM,1,"GYIMAKROM,ADADEKROM"
2020-04-30,MAN MADE,1,ABOSO
2020-05-11,RAINSTORM,1,EHYIRESO
2020-05-18,RAINSTORM,1,BEPOH
2020-05-25,MAN MADE,1,"DAMANG,DUMASI"
2020-02-28,DOMESTIC FIRE,1,ELLOWULE
2020-02-20,DOMESTIC FIRE,1,EHOAKA
2020-03-22,DOMESTIC FIRE,1,ELUBO
2020-03-10,FLOOD,1,ELUBO
2020-03-14,RAINSTORM,1,HALF ASSIN
2020-04-01,RAINSTORM,1,"ANLOMATOUPE,HALF ASSINI,TAKINTA,ATWEBA, EDOBO,ELENDA,EFFASU,ENZINYI TIANU,BOAKWA"
2020-04-25,DOMESTIC FIRE,1,AMANZULE NORTH
2020-06-17,DOMESTIC FIRE,1,EKEGYINA
2020-06-30,FLOOD,1,"OLD EDOBO,NEWEDOBO,ATWEBANSO"
2020-01-07,FLOOD,1,OLD EDOBO
2020-02-07,FLOOD,1,NEW EDOBO
2020-03-07,FLOOD,1,ATWEBAN
2020-07-15,DOMESTIC FIRE,1,ALEWULE
2020-01-08,DOMESTIC FIRE,1,KABSUAZO
2020-02-08,DOMESTIC FIRE,1,JAWAY
2020-06-08,DOMESTIC FIRE,1,J/WHARF
2020-11-10,DOMESTIC FIRE,1,
2020-04-24,WINDSTORM,1,"DOMINASE,KYEIKROM,ASUMAUM"
2020-06-05,RAINSTORM,1,PENSAN
2020-06-14,FLOOD,1,MANSO AMENFI
2020-01-14,FLOOD,1,ADENTIEM
2020-04-11,DOMESTIC FIRE,1,KWESIMINTSIM
2020-04-14,DOMESTIC FIRE,1,SARBON ZONGO
2020-04-23,WINDSTORM,1,ZONGO
2020-06-05,DOMESTIC FIRE,1,APREMDO
2020-08-24,MAN MADE,1,EFFIA
2020-10-13,DOMESTIC FIRE,1,ABENBOBOM
2020-11-09,DOMESTIC FIRE,1,NEWSITE
2021-02-18,WINDSTORM,1,AGONA NKWANTA
2021-02-21,WINDSTORM,1,"KUBEKOR,NTAAKROM"
2021-03-23,WINDSTORM,1,APEMENIM
2021-05-20,LIGHTNING,1,AGONA NKWANTA
2021-07-16,FLOOD,1,ADJUMAKO MPATAASE
2021-07-16,FLOOD,1,ABURA
2021-07-16,FLOOD,1,GYABENEKROM
2021-07-16,FLOOD,1,ASEMBA
2021-07-16,FLOOD,1,ASEMKOW
2021-07-16,FLOOD,1,EWUSIEJOE
2021-07-16,FLOOD,1,MPAYINASA
2021-07-16,FLOOD,1,AGONA NKWANTA
2021-07-16,FLOOD,1,PRINCESS AKATAKYI
2021-07-16,FLOOD,1,HOPOTO
2021-07-16,FLOOD,1,AKETENCHI
2021-07-16,FLOOD,1,FIATI
2021-07-16,FLOOD,1,SANKOR
2021-07-16,FLOOD,1,ABOADI
2021-07-16,FLOOD,1,DUAHOROZO
2021-11-15,TIDAL WAVES,1,BUTRE
2021-10-10,FLOOD,1,ENOE
2021-01-03,WINDSTORM,1,MANSO
2021-05-10,WINDSTORM,1,"K9,MANSO"
2021-06-10,WINDSTORM,1,MANSO
2021-06-17,WINDSTORM,1,MANSO
2021-07-16,FLOOD,1,MPOHOR
2021-07-16,WINDSTORM,1,AYIEM
2021-03-02,RAINSTORM,1,WASSA AGONA
2021-05-03,RAINSTORM,1,"SUBRISO,AKOON NZEMAFOKROM,BANSO DOMEABRA"
2021-03-23,RAINSTORM,1,"OLD TOWN,KWAMNAEKROM,ROMAN CATHOLIC SCHOOL"
2021-04-24,RAINSTORM,1,BONSA
2021-05-20,WINDSTORM,1,AKOON
2021-05-20,WINDSTORM,1,CYANIDE
2021-05-20,WINDSTORM,1,BRAHABEBOME
2021-05-20,WINDSTORM,1,RAILWAY BANGALOW
2021-05-20,WINDSTORM,1,ZONGO
2021-05-20,WINDSTORM,1,BRENUAKYIM
2021-06-16,WINDSTORM,1,TEBREBE
2021-07-08,FLOOD,1,BRENUAKYIM
2021-07-08,FLOOD,1,BRAHABEBOME
2021-07-09,FLOOD,1,BANKYIM
2021-08-09,FLOOD,1,AKYEMPIM
2021-09-09,FLOOD,1,BRAHABEBOME
2021-09-10,RAINSTORM,1,DOMPIM-PEPESA
2021-09-13,RAINSTORM,1,ADIEWOSO
2021-11-17,WINDSTORM,1,ANOMAKOKROM
2021-12-01,RAINSTORM,1,BUNG
2021-12-01,RAINSTORM,1,ADWOZE
2021-12-10,FLOOD,1,ABUESI
2021-12-10,FLOOD,1,ATWEREBOANDA
2021-12-10,FLOOD,1,KPOKORKOPE
2021-12-10,FLOOD,1,OHIAMAWEN
2021-12-10,FLOOD,1,OHIAMAWEN
2021-07-11,TIDAL WAVES,1,ANLO BEACH
2021-02-15,RAINSTORM,1,SIKANEASEM
2021-11-28,RAINSTORM,1,NSEIN
2021-03-22,WINDSTORM,1,AKPANDUE
2021-03-24,WINDSTORM,1,"SANZULE,ANNORKYI,BASAKE,KAMBULI"
2021-06-21,FLOOD,1,AYINASI
2021-07-14,FLOOD,1,
