Date,disaster_type,Incident_Count,Location,Severity_Index
2020-08-20 00:00:00,COMMERCIAL FIRE,1,AGONA NKWANTA MKT,1
24/8/2020,FLOOD,1,BUTRE,1
28/8/2020,MAN MADE,1,BUSUA JUNCTION,1
22/9/2020,DOMESTIC FIRE,1,ASEMASA,1
14/3/2020,DOMESTIC FIRE,1,ADUM DOMINASE,1
2020-04-06 00:00:00,FLOOD,1,BANSO,1
2020-04-06 00:00:00,WINDSTORM,1,AYIEM,1
2020-11-05 00:00:00,DOMESTIC FIRE,1,MPOHOR,1
29/8/2020,DOMESTIC FIRE,1,BANSO,1
13/9/2020,DOMESTIC FIRE,1,MPOHOR,1
27/9/2020,MAN MADE,1,BANSO,1
2020-06-02 00:00:00,DOMESTIC FIRE,1,ADA NKWANTA,1
2020-10-02 00:00:00,DOMESTIC FIRE,1,NEWTOWN,1
16/2/2020,DOMESTIC FIRE,1,OLD TOWN,1
2020-11-05 00:00:00,DOMESTIC FIRE,1,APEMANYIM,1
2020-11-06 00:00:00,MAN MADE,1,BEPOSO,1
2020-10-27 00:00:00,DOMESTIC FIRE,1,ABOADZE,1
2020-11-26 00:00:00,FLOOD,1,ABUESI,1
2020-12-13 00:00:00,DOMESTIC FIRE,1,SHAMA,1
13/1/2020,DOMESTIC FIRE ,1,ESIAMA,1
21/1/2020,MAN MADE,1,OBENKROM,1
2020-01-02 00:00:00,DOMESTIC FIRE ,1,SALMA,1
2020-11-02 00:00:00,BUSH FIRE,1,AKPANDUE,1
13/2/2020,DOMESTIC FIRE ,1,NEW BANKATA,1
2020-06-03 00:00:00,DOMESTIC FIRE ,1,ASEMKO,1
14/4/2020,DOMESTIC FIRE,1,AWIEBO,1
2020-05-05 00:00:00,DOMESTIC FIRE,1,ESIAMA,1
2020-01-07 00:00:00,DOMESTIC FIRE,1,BOBRAMA,1
20/7/2020,DOMESTIC FIRE,1,KIKAM,1
18/8/2020,DOMESTIC FIRE,1,NKROFUL,1
2020-12-09 00:00:00,COMMERCIAL FIRE,1,SANZULE EWE COMMUNITY,1
14/10/2020,DOMESTIC FIRE,1,NKROFUL,1
18/1/2020,WINDSTORM,1,NSUAEM . DOMPIM,1
18/2/2020,RAINSTORM,1,"NKAMPONASE,DOMPIM",1
2020-08-03 00:00:00,DOMESTIC FIRE,1,BENSO,1
2020-04-01 00:00:00,WINDSTORM,1,DOMPIM,1
2020-04-01 00:00:00,WINDSTORM,1,BENSO,1
2020-04-01 00:00:00,WINDSTORM,1,ADIEWOSO,1
18/4/2020,DOMESTIC FIRE,1,RAILWAY QTR,1
26/4/2020,FLOODING,1,ESSAMAN,1
23/5/2020,FLOODING,1,RAILWAY QTR,1
25/5/2020,DOMESTIC FIRE ,1,NEW MANKESSIM,1
27/5/2020,COMMERCIAL FIRE ,1,SIMPA,1
14/7/2020,DOMESTIC FIRE,1,AKOON,1
2020-05-08 00:00:00,COMMERCIAL FIRE,1,TARKWA,1
2020-10-08 00:00:00,COMMERCIAL FIRE,1,NZEMALINE,1
2020-04-09 00:00:00,COMMERCIAL FIRE,1,AKYEPIM,1
2020-10-06 00:00:00,MAN MADE,1,AKOON,1
18/5/2020,RAINSTORM,1,NSUOPUN,1
20/5/2020,RAINSTORM,1,ADANSE,1
2020-03-06 00:00:00,RAINSTORM,1,ESIAMA,1
2020-03-01 00:00:00,DOMESTIC FIRE,1,YEDIYESELE,1
26/2/2020,DOMESTIC FIRE,1,APATAIM,1
2020-05-03 00:00:00,DOMESTIC FIRE,1,TEBAKROM,1
2020-08-05 00:00:00,DOMESTIC FIRE,1,BAMIANKOR,1
2020-11-05 00:00:00,DOMESTIC FIRE,1,AXIM,1
22/5/2020,DOMESTIC FIRE,1,KEGYINA,1
22/5/2020,COMMERCIAL FIRE,1,AYISAKRO,1
2020-02-08 00:00:00,DOMESTIC FIRE,1,BOKAZO,1
29/8/2020,DOMESTIC FIRE,1,KEGYINA,1
2020-11-13 00:00:00,DOMESTIC FIRE,1,GWIRA BANSO,1
20/2/2020,WINDSTORM,1,ANTO KUBEKRO,1
17/3/2020,WINDSTORM,1,SEKYERE ABRODZERUM,1
2020-05-04 00:00:00,WINDSTORM,1,AKYEMPIM,1
2020-05-04 00:00:00,DOMESTIC FIRE,1,ATIEKU,1
2020-07-04 00:00:00,DOMESTIC FIRE,1,AKYEMPIM,1
2020-12-04 00:00:00,BUSH FIRE,1,JERUSALEM,1
5/8/202,DOMESTIC FIRE,1,BOKOKROM,1
13/3/2020,COMMERCIAL FIRE,1,ALLAN BEACH,1
2020-10-04 00:00:00,DOMESTIC FIRE,1,NEW TAKORADI,1
2020-07-07 00:00:00,DOMESTIC FIRE,1,NKROFUL NKWANTA,1
18/7/2020,DOMESTIC FIRE,1,KOJOKROM,1
2020-08-15 00:00:00,COMMERCIAL FIRE,1,TAKORADI,1
2020-08-25 00:00:00,COMMERCIAL FIRE,1,AMANFUL,1
2020-09-06 00:00:00,DOMESTIC FIRE,1,KANSAWORDO,1
2020-10-20 00:00:00,DOMESTIC FIRE,1,TAKORADI,1
2020-10-23 00:00:00,DOMESTIC FIRE,1,ZONGO,1
2020-10-28 00:00:00,DOMESTIC FIRE,1,MARKET,1
2020-11-08 00:00:00,DOMESTIC FIRE,1,TAKORADI NO.1,1
2020-11-19 00:00:00,DOMESTIC FIRE,1,SEKONDI,1
2020-11-28 00:00:00,FLOOD,1,"NTAKOFUL,KANSAWORDO,DIBENE",1
2020-01-04 00:00:00,RAINSTORM,1,ASANKRANGWA,1
2020-01-04 00:00:00,RAINSTORM,1,ASUOHYIAM,1
2020-01-04 00:00:00,RAINSTORM,1,SAMREBOI,1
2020-01-04 00:00:00,RAINSTORM,1,BREMAN,1
2020-01-04 00:00:00,RAINSTORM,1,MUMUNI,1
2020-01-04 00:00:00,RAINSTORM,1,PATAKORO,1
2020-01-04 00:00:00,RAINSTORM,1,ATOBRAKROM,1
2020-01-04 00:00:00,RAINSTORM,1,JAMESBOA,1
2020-01-04 00:00:00,RAINSTORM,1,GYAMAN,1
2020-01-04 00:00:00,RAINSTORM,1,SIKA NTI,1
2020-01-04 00:00:00,RAINSTORM,1,KWABENG,1
2020-01-04 00:00:00,RAINSTORM,1,ODAA AHENKRO,1
2020-01-04 00:00:00,RAINSTORM,1,MEMPEASEM,1
2020-11-05 00:00:00,FLOODING,1,ASUOHYIAM,1
2020-11-05 00:00:00,FLOODING,1,ATOBRAKROM,1
27/7/2020,DOMESTIC FIRE,1,AWORABO,1
2020-12-08 00:00:00,DOMESTIC FIRE,1,NEW TOWN,1
18/3/2020,COMMERCIAL FIRE,1,AGYEIKROM,1
2020-04-05 00:00:00,RAINSTORM,1,KROFROM,1
2020-04-09 00:00:00,MAN-MADE,1,ABOSO,1
2020-04-27 00:00:00,RAINSTORM,1,"GYIMAKROM,ADADEKROM",1
