Date,disaster_type,Incident_Count,Location,Severity_Index
2019-01-07,RAINSTORM,1,AHWIAM,1
2019-10-07,RAINSTORM,1,ASAWINSO,1
2019-08-25,FLOOD,1,PEAWUDIE,1
2019-09-16,RAINSTORM,1,PABOASE,1
2019-09-19,RAINSTORM,1,FUTA,1
2019-11-04,RAINSTORM,1,"GYAKROM,AFRIKROM",1
2019-11-12,FLOOD,1,SUSUMENELEE,1
21/3/19,RAINSTORM,1,NEW GYASIKROM,1
18/1/19,RAINSTORM,1,NYAKAMAM,1
18/1/19,RAINSTORM,1,OMAPE,1
15/04/19,FLOOD,1,ESIAMA,1
18/4/19,PEST&INSECT INFESTATION,1,ESIAMA,1
2019-07-09,RAINSTORM,1,YAKASI,1
2019-11-10,FLOOD,1,"ENCHI,OLD YKASE,NEW YAKASE,BOINSO,OMANYEPE",1
2019-10-14,FLOOD,1,ENCHI,1
2019-10-14,FLOOD,1,OLD YAKASI,1
2019-10-15,FLOOD,1,NEW YAKASI,1
2019-10-15,FLOOD,1,BOINSO,1
2019-10-15,FLOOD,1,OMANYEPE,1
2019-03-19,WINDSTORM,1,PROSO,1
2019-03-19,WINDSTORM,1,KOFIKROM,1
2019-01-06,WINDSTORM,1,ESIAMA,1
2019-08-13,RAINSTORM,1,BOINZAIN,1
2019-10-02,FLOOD,1,JUABOSO,1
2019-10-22,WINDSTORM,1,ADABOKROM,1
2019-11-04,RAINSTROM,1,ESIAMA,1
2019-12-04,FLOOD,1,ESIAMA,1
2019-10-19,FLOOD,1,MISIBA,1
2019-10-20,FLOOD,1,AKONTOMBRA,1
2019-10-22,FLOOD,1,ADABOKROM,1
2019-10-23,FLOOD,1,AYISAKROM,1
2019-10-28,LANDSLIDE,1,KABIESIE,1
2019-11-19,RAINSTORM,1,BOPA,1
28/01/19,RAINSTORM,1,ADOBEWURA,1
2019-02-02,RAINSTORM,1,DEGEDE,1
2019-10-03,RAINSTORM,1,ATTAKROM,1
22/03/19,RAINSTORM,1,BREMAN,1
2019-09-04,RAINSTORM,1,ESIAMA,1
24/06/19,FLOOD,1,ESIAMA,1
25/06/19,RAINSTORM,1,ESIAMA,1
2019-06-25,FLOOD,1,ESIAMA,1
25/05/19,RAINSTORM,1,ESIAMA,1
2019-07-15,RAINSTORM,1,HUJIBRE,1
2019-08-18,FLOOD,1,BEKWAI,1
